
Probabilities History (rounded to 3 digits):
Iteration 100: e: 0.16, a: 0.13, o: 0.12, n: 0.1, r: 0.09, s: 0.09, l: 0.06, d: 0.05, f: 0.04, t: 0.04, c: 0.02, i: 0.02, p: 0.02, g: 0.01, m: 0.01, w: 0.01, y: 0.01, z: 0.01, b: 0.0, h: 0.0, j: 0.0, k: 0.0, q: 0.0, u: 0.0, v: 0.0, x: 0.0
Iteration 1500: e: 0.14, a: 0.11, o: 0.08, i: 0.08, n: 0.07, r: 0.07, s: 0.07, t: 0.06, l: 0.06, d: 0.05, c: 0.05, u: 0.04, m: 0.03, p: 0.02, f: 0.01, g: 0.01, b: 0.01, v: 0.01, q: 0.01, z: 0.01, y: 0.0, x: 0.0, h: 0.0, j: 0.0, w: 0.0, k: 0.0
Iteration 1600: e: 0.14, a: 0.11, o: 0.09, i: 0.08, n: 0.07, r: 0.07, s: 0.07, t: 0.06, d: 0.06, c: 0.05, l: 0.05, u: 0.03, m: 0.03, p: 0.03, f: 0.01, g: 0.01, v: 0.01, b: 0.01, q: 0.01, z: 0.01, y: 0.0, x: 0.0, h: 0.0, j: 0.0, w: 0.0, k: 0.0
Iteration 1700: e: 0.14, a: 0.12, o: 0.08, i: 0.08, n: 0.07, r: 0.07, s: 0.07, t: 0.06, d: 0.06, l: 0.06, c: 0.05, u: 0.04, m: 0.03, p: 0.02, f: 0.01, g: 0.01, b: 0.01, v: 0.01, q: 0.01, z: 0.01, y: 0.0, x: 0.0, h: 0.0, j: 0.0, w: 0.0, k: 0.0
Iteration 1800: e: 0.13, a: 0.12, o: 0.08, i: 0.08, r: 0.07, n: 0.07, s: 0.07, d: 0.06, l: 0.06, t: 0.06, c: 0.05, u: 0.04, m: 0.03, p: 0.02, f: 0.01, b: 0.01, g: 0.01, v: 0.01, q: 0.01, z: 0.01, y: 0.01, j: 0.0, x: 0.0, h: 0.0, w: 0.0, k: 0.0
Iteration 1900: e: 0.13, a: 0.12, o: 0.08, i: 0.08, n: 0.07, r: 0.07, s: 0.07, t: 0.06, d: 0.06, l: 0.06, c: 0.05, u: 0.04, m: 0.03, p: 0.02, f: 0.01, g: 0.01, b: 0.01, v: 0.01, q: 0.01, z: 0.01, y: 0.01, j: 0.0, x: 0.0, h: 0.0, w: 0.0, k: 0.0
Iteration 2000: e: 0.14, a: 0.12, i: 0.08, o: 0.08, n: 0.07, r: 0.07, s: 0.07, d: 0.06, t: 0.06, l: 0.05, c: 0.05, u: 0.04, m: 0.03, p: 0.02, f: 0.01, g: 0.01, b: 0.01, v: 0.01, q: 0.01, y: 0.01, z: 0.01, j: 0.0, x: 0.0, h: 0.0, w: 0.0, k: 0.0
Iteration 2100: e: 0.14, a: 0.12, o: 0.08, i: 0.08, n: 0.07, r: 0.07, s: 0.07, d: 0.06, t: 0.06, l: 0.05, c: 0.05, u: 0.04, m: 0.03, p: 0.02, g: 0.01, f: 0.01, b: 0.01, v: 0.01, q: 0.01, y: 0.01, z: 0.01, j: 0.0, x: 0.0, h: 0.0, w: 0.0, k: 0.0
Iteration 2200: e: 0.14, a: 0.12, o: 0.08, i: 0.08, n: 0.08, r: 0.07, s: 0.07, t: 0.06, d: 0.06, c: 0.05, l: 0.05, u: 0.04, m: 0.03, p: 0.02, g: 0.01, f: 0.01, b: 0.01, v: 0.01, q: 0.01, y: 0.01, z: 0.0, j: 0.0, x: 0.0, h: 0.0, w: 0.0, k: 0.0
Iteration 2300: e: 0.14, a: 0.12, i: 0.08, o: 0.08, n: 0.08, r: 0.06, s: 0.06, t: 0.06, d: 0.06, c: 0.06, l: 0.05, u: 0.04, m: 0.03, p: 0.02, g: 0.01, f: 0.01, b: 0.01, q: 0.01, v: 0.01, z: 0.01, y: 0.01, j: 0.0, x: 0.0, h: 0.0, w: 0.0, k: 0.0
Iteration 2400: e: 0.13, a: 0.12, i: 0.08, n: 0.08, o: 0.08, r: 0.07, s: 0.06, t: 0.06, c: 0.06, d: 0.06, l: 0.05, u: 0.04, m: 0.03, p: 0.02, g: 0.01, f: 0.01, b: 0.01, v: 0.01, q: 0.01, z: 0.01, y: 0.01, j: 0.0, x: 0.0, h: 0.0, k: 0.0, w: 0.0
Iteration 2500: e: 0.14, a: 0.12, i: 0.08, n: 0.08, o: 0.08, r: 0.07, s: 0.06, c: 0.06, t: 0.06, d: 0.05, l: 0.05, u: 0.04, m: 0.03, p: 0.02, f: 0.01, g: 0.01, b: 0.01, q: 0.01, v: 0.01, z: 0.01, y: 0.01, j: 0.0, x: 0.0, h: 0.0, k: 0.0, w: 0.0
Iteration 2600: e: 0.14, a: 0.12, i: 0.08, n: 0.08, o: 0.08, r: 0.07, s: 0.06, c: 0.06, d: 0.06, t: 0.05, l: 0.05, u: 0.04, m: 0.03, p: 0.02, g: 0.01, f: 0.01, b: 0.01, q: 0.01, v: 0.01, z: 0.01, y: 0.01, j: 0.0, x: 0.0, h: 0.0, k: 0.0, w: 0.0
Iteration 2700: e: 0.14, a: 0.12, n: 0.08, i: 0.08, o: 0.08, r: 0.07, s: 0.06, c: 0.06, d: 0.06, t: 0.05, l: 0.05, u: 0.04, m: 0.03, p: 0.02, g: 0.01, f: 0.01, q: 0.01, b: 0.01, v: 0.01, z: 0.01, y: 0.01, j: 0.0, x: 0.0, h: 0.0, k: 0.0, w: 0.0
Iteration 2800: e: 0.14, a: 0.12, n: 0.08, o: 0.08, i: 0.08, r: 0.07, s: 0.06, d: 0.06, c: 0.06, t: 0.05, l: 0.05, u: 0.04, m: 0.03, p: 0.02, g: 0.01, f: 0.01, q: 0.01, b: 0.01, v: 0.01, z: 0.01, y: 0.01, j: 0.0, x: 0.0, h: 0.0, k: 0.0, w: 0.0
Iteration 2900: e: 0.14, a: 0.12, n: 0.08, o: 0.08, i: 0.08, r: 0.07, s: 0.06, d: 0.06, c: 0.06, t: 0.06, l: 0.05, u: 0.04, m: 0.03, p: 0.02, g: 0.01, f: 0.01, b: 0.01, q: 0.01, v: 0.01, z: 0.01, y: 0.01, j: 0.0, x: 0.0, h: 0.0, k: 0.0, w: 0.0
Iteration 3000: e: 0.14, a: 0.12, n: 0.08, o: 0.08, i: 0.08, r: 0.07, s: 0.06, d: 0.06, t: 0.06, c: 0.05, l: 0.05, u: 0.04, m: 0.03, p: 0.02, g: 0.01, f: 0.01, q: 0.01, b: 0.01, v: 0.01, z: 0.01, y: 0.01, j: 0.0, x: 0.0, h: 0.0, k: 0.0, w: 0.0
Iteration 3100: e: 0.14, a: 0.12, n: 0.08, o: 0.08, i: 0.08, r: 0.07, s: 0.06, d: 0.06, c: 0.06, t: 0.06, l: 0.05, u: 0.04, m: 0.03, p: 0.02, g: 0.01, f: 0.01, q: 0.01, b: 0.01, v: 0.01, z: 0.01, y: 0.01, j: 0.0, x: 0.0, h: 0.0, k: 0.0, w: 0.0
Iteration 3200: e: 0.14, a: 0.11, n: 0.08, o: 0.08, i: 0.08, r: 0.07, s: 0.06, d: 0.06, c: 0.06, t: 0.06, l: 0.05, u: 0.04, m: 0.02, p: 0.02, g: 0.01, f: 0.01, q: 0.01, b: 0.01, v: 0.01, z: 0.01, y: 0.01, j: 0.0, x: 0.0, h: 0.0, k: 0.0, w: 0.0
Iteration 3300: e: 0.14, a: 0.11, n: 0.08, o: 0.08, i: 0.08, r: 0.07, s: 0.06, d: 0.06, c: 0.06, t: 0.05, l: 0.05, u: 0.04, m: 0.03, p: 0.02, g: 0.01, f: 0.01, q: 0.01, b: 0.01, v: 0.01, z: 0.01, y: 0.01, j: 0.0, x: 0.0, h: 0.0, k: 0.0, w: 0.0
Iteration 3400: e: 0.14, a: 0.11, n: 0.08, o: 0.08, i: 0.08, r: 0.07, s: 0.06, c: 0.06, d: 0.06, t: 0.05, l: 0.05, u: 0.04, m: 0.02, p: 0.02, g: 0.01, f: 0.01, q: 0.01, b: 0.01, v: 0.01, z: 0.01, y: 0.01, j: 0.0, x: 0.0, h: 0.0, k: 0.0, w: 0.0
Iteration 3500: e: 0.14, a: 0.12, n: 0.08, o: 0.08, i: 0.08, r: 0.07, s: 0.06, c: 0.06, d: 0.06, t: 0.05, l: 0.05, u: 0.04, m: 0.02, p: 0.02, g: 0.01, f: 0.01, q: 0.01, b: 0.01, v: 0.01, z: 0.01, y: 0.01, j: 0.0, x: 0.0, h: 0.0, k: 0.0, w: 0.0
Iteration 3600: e: 0.14, a: 0.11, n: 0.09, o: 0.08, i: 0.07, r: 0.07, s: 0.06, c: 0.06, d: 0.06, t: 0.05, l: 0.05, u: 0.04, m: 0.02, p: 0.02, g: 0.01, f: 0.01, b: 0.01, q: 0.01, v: 0.01, z: 0.01, y: 0.01, j: 0.0, k: 0.0, x: 0.0, h: 0.0, w: 0.0
Iteration 3700: e: 0.14, a: 0.12, n: 0.08, o: 0.08, i: 0.07, r: 0.07, s: 0.06, c: 0.06, d: 0.06, t: 0.05, l: 0.05, u: 0.04, m: 0.03, p: 0.02, g: 0.01, f: 0.01, b: 0.01, q: 0.01, v: 0.01, z: 0.01, y: 0.01, j: 0.0, h: 0.0, k: 0.0, x: 0.0, w: 0.0
Iteration 3800: e: 0.14, a: 0.12, n: 0.08, o: 0.08, i: 0.07, r: 0.07, s: 0.07, c: 0.06, d: 0.05, t: 0.05, l: 0.05, u: 0.04, m: 0.03, p: 0.02, g: 0.01, f: 0.01, b: 0.01, q: 0.01, v: 0.01, z: 0.01, y: 0.01, j: 0.0, k: 0.0, h: 0.0, x: 0.0, w: 0.0
Iteration 3900: e: 0.14, a: 0.11, n: 0.08, o: 0.08, i: 0.07, s: 0.07, r: 0.07, c: 0.05, d: 0.05, t: 0.05, l: 0.05, u: 0.04, m: 0.03, p: 0.02, g: 0.01, f: 0.01, b: 0.01, q: 0.01, v: 0.01, z: 0.01, y: 0.01, k: 0.0, j: 0.0, h: 0.0, x: 0.0, w: 0.0
Iteration 4000: e: 0.14, a: 0.11, n: 0.08, o: 0.08, i: 0.07, s: 0.07, r: 0.07, c: 0.05, d: 0.05, t: 0.05, l: 0.05, u: 0.04, m: 0.03, p: 0.02, g: 0.01, b: 0.01, f: 0.01, v: 0.01, q: 0.01, z: 0.01, y: 0.01, k: 0.0, j: 0.0, h: 0.0, x: 0.0, w: 0.0
Iteration 4100: e: 0.14, a: 0.11, n: 0.08, o: 0.08, s: 0.07, i: 0.07, r: 0.07, c: 0.05, d: 0.05, t: 0.05, l: 0.05, u: 0.04, m: 0.03, p: 0.02, g: 0.01, b: 0.01, f: 0.01, v: 0.01, q: 0.01, z: 0.01, y: 0.01, k: 0.0, j: 0.0, h: 0.0, x: 0.0, w: 0.0
Iteration 4200: e: 0.14, a: 0.11, n: 0.08, o: 0.08, s: 0.07, i: 0.07, r: 0.06, c: 0.05, t: 0.05, d: 0.05, l: 0.05, u: 0.04, m: 0.03, p: 0.02, g: 0.01, b: 0.01, f: 0.01, v: 0.01, q: 0.01, z: 0.01, y: 0.01, k: 0.0, j: 0.0, h: 0.0, x: 0.0, w: 0.0
Iteration 4300: e: 0.15, a: 0.11, n: 0.08, o: 0.08, s: 0.07, i: 0.07, r: 0.07, c: 0.05, t: 0.05, d: 0.05, l: 0.05, u: 0.04, m: 0.02, p: 0.02, g: 0.01, b: 0.01, f: 0.01, q: 0.01, v: 0.01, z: 0.01, y: 0.01, k: 0.0, j: 0.0, h: 0.0, x: 0.0, w: 0.0
Iteration 4400: e: 0.15, a: 0.11, n: 0.08, o: 0.08, s: 0.07, i: 0.07, r: 0.07, t: 0.05, c: 0.05, d: 0.05, l: 0.05, u: 0.04, p: 0.03, m: 0.02, g: 0.01, b: 0.01, f: 0.01, q: 0.01, v: 0.01, y: 0.01, z: 0.01, k: 0.0, j: 0.0, h: 0.0, x: 0.0, w: 0.0
Iteration 4500: e: 0.15, a: 0.11, n: 0.08, o: 0.08, s: 0.07, i: 0.07, r: 0.07, t: 0.05, c: 0.05, d: 0.05, l: 0.05, u: 0.04, p: 0.03, m: 0.02, g: 0.01, b: 0.01, f: 0.01, q: 0.01, v: 0.01, y: 0.01, z: 0.01, k: 0.0, j: 0.0, h: 0.0, x: 0.0, w: 0.0
Iteration 4600: e: 0.15, a: 0.11, n: 0.08, o: 0.08, s: 0.07, i: 0.07, r: 0.07, t: 0.05, c: 0.05, d: 0.05, l: 0.05, u: 0.04, m: 0.03, p: 0.03, g: 0.01, b: 0.01, f: 0.01, q: 0.01, v: 0.01, y: 0.01, z: 0.01, k: 0.0, j: 0.0, h: 0.0, x: 0.0, w: 0.0
Iteration 4700: e: 0.15, a: 0.11, n: 0.08, o: 0.08, s: 0.07, i: 0.07, r: 0.07, t: 0.05, c: 0.05, d: 0.05, l: 0.05, u: 0.04, m: 0.03, p: 0.03, g: 0.01, b: 0.01, f: 0.01, q: 0.01, v: 0.01, y: 0.01, z: 0.01, k: 0.0, j: 0.0, h: 0.0, x: 0.0, w: 0.0
Iteration 4800: e: 0.15, a: 0.11, n: 0.09, o: 0.08, s: 0.07, i: 0.07, r: 0.07, t: 0.05, c: 0.05, d: 0.05, l: 0.05, u: 0.04, m: 0.03, p: 0.03, g: 0.01, b: 0.01, f: 0.01, q: 0.01, v: 0.01, y: 0.01, z: 0.01, k: 0.0, j: 0.0, h: 0.0, x: 0.0, w: 0.0
Iteration 4900: e: 0.15, a: 0.11, n: 0.09, o: 0.08, s: 0.07, i: 0.07, r: 0.06, t: 0.06, c: 0.05, d: 0.05, l: 0.05, u: 0.04, m: 0.03, p: 0.03, g: 0.01, b: 0.01, f: 0.01, q: 0.01, v: 0.01, y: 0.01, z: 0.01, j: 0.0, k: 0.0, h: 0.0, x: 0.0, w: 0.0
Iteration 5000: e: 0.14, a: 0.11, n: 0.09, o: 0.08, s: 0.07, i: 0.07, r: 0.06, t: 0.05, c: 0.05, d: 0.05, l: 0.05, u: 0.04, m: 0.03, p: 0.03, g: 0.01, b: 0.01, f: 0.01, v: 0.01, q: 0.01, y: 0.01, z: 0.01, j: 0.0, k: 0.0, h: 0.0, x: 0.0, w: 0.0
Iteration 5100: e: 0.14, a: 0.11, n: 0.09, o: 0.08, s: 0.07, i: 0.07, r: 0.06, t: 0.05, c: 0.05, d: 0.05, l: 0.05, u: 0.04, m: 0.03, p: 0.03, g: 0.01, b: 0.01, f: 0.01, v: 0.01, q: 0.01, y: 0.01, z: 0.01, j: 0.0, k: 0.0, h: 0.0, x: 0.0, w: 0.0
Iteration 5200: e: 0.14, a: 0.11, n: 0.09, o: 0.08, s: 0.07, i: 0.07, r: 0.06, t: 0.05, c: 0.05, d: 0.05, l: 0.05, u: 0.04, m: 0.03, p: 0.02, g: 0.01, b: 0.01, f: 0.01, v: 0.01, q: 0.01, y: 0.01, z: 0.01, j: 0.0, k: 0.0, h: 0.0, x: 0.0, w: 0.0
Iteration 5300: e: 0.14, a: 0.11, n: 0.09, o: 0.08, s: 0.07, i: 0.07, r: 0.06, t: 0.05, c: 0.05, d: 0.05, l: 0.05, u: 0.04, m: 0.03, p: 0.02, g: 0.01, b: 0.01, f: 0.01, v: 0.01, q: 0.01, y: 0.01, z: 0.01, j: 0.0, k: 0.0, h: 0.0, x: 0.0, w: 0.0
Iteration 5400: e: 0.14, a: 0.11, n: 0.09, o: 0.08, s: 0.07, i: 0.07, r: 0.06, t: 0.05, c: 0.05, d: 0.05, l: 0.05, u: 0.04, m: 0.03, p: 0.03, g: 0.01, b: 0.01, f: 0.01, v: 0.01, q: 0.01, y: 0.01, z: 0.01, j: 0.0, k: 0.0, h: 0.0, x: 0.0, w: 0.0
Iteration 5500: e: 0.14, a: 0.11, n: 0.09, o: 0.08, s: 0.07, i: 0.07, r: 0.06, t: 0.05, c: 0.05, d: 0.05, l: 0.05, u: 0.04, m: 0.03, p: 0.03, g: 0.01, b: 0.01, f: 0.01, v: 0.01, q: 0.01, y: 0.01, z: 0.01, j: 0.0, k: 0.0, h: 0.0, x: 0.0, w: 0.0
Iteration 5600: e: 0.14, a: 0.11, n: 0.09, o: 0.08, s: 0.07, i: 0.07, r: 0.06, t: 0.05, c: 0.05, d: 0.05, l: 0.05, u: 0.04, m: 0.03, p: 0.03, g: 0.01, b: 0.01, f: 0.01, v: 0.01, q: 0.01, y: 0.01, z: 0.01, j: 0.0, k: 0.0, h: 0.0, x: 0.0, w: 0.0
Iteration 5700: e: 0.14, a: 0.11, n: 0.09, o: 0.08, s: 0.07, i: 0.07, r: 0.06, t: 0.05, c: 0.05, d: 0.05, l: 0.05, u: 0.04, m: 0.03, p: 0.03, g: 0.01, b: 0.01, f: 0.01, v: 0.01, q: 0.01, y: 0.01, z: 0.01, j: 0.0, k: 0.0, h: 0.0, x: 0.0, w: 0.0
Iteration 5800: e: 0.14, a: 0.11, n: 0.09, o: 0.08, s: 0.07, i: 0.07, r: 0.06, t: 0.05, c: 0.05, d: 0.05, l: 0.05, u: 0.04, m: 0.03, p: 0.03, g: 0.01, b: 0.01, f: 0.01, v: 0.01, q: 0.01, y: 0.01, z: 0.01, j: 0.0, k: 0.0, h: 0.0, x: 0.0, w: 0.0
Iteration 5900: e: 0.14, a: 0.11, n: 0.09, o: 0.08, s: 0.07, i: 0.07, r: 0.06, t: 0.05, c: 0.05, d: 0.05, l: 0.05, u: 0.04, m: 0.03, p: 0.03, g: 0.01, b: 0.01, v: 0.01, f: 0.01, q: 0.01, y: 0.01, z: 0.01, j: 0.0, k: 0.0, h: 0.0, x: 0.0, w: 0.0
Iteration 6000: e: 0.14, a: 0.11, n: 0.09, o: 0.08, s: 0.07, i: 0.07, r: 0.06, t: 0.05, c: 0.05, d: 0.05, l: 0.05, u: 0.04, m: 0.03, p: 0.03, g: 0.01, b: 0.01, v: 0.01, f: 0.01, q: 0.01, y: 0.01, z: 0.01, j: 0.0, k: 0.0, h: 0.0, x: 0.0, w: 0.0
Iteration 6100: e: 0.14, a: 0.11, n: 0.09, o: 0.08, s: 0.07, i: 0.07, r: 0.07, t: 0.05, c: 0.05, d: 0.05, l: 0.05, u: 0.04, m: 0.03, p: 0.03, g: 0.01, b: 0.01, v: 0.01, f: 0.01, q: 0.01, y: 0.01, z: 0.01, j: 0.0, k: 0.0, h: 0.0, x: 0.0, w: 0.0
Iteration 6200: e: 0.14, a: 0.11, n: 0.09, o: 0.08, s: 0.07, i: 0.07, r: 0.07, t: 0.05, c: 0.05, d: 0.05, l: 0.05, u: 0.04, m: 0.03, p: 0.03, g: 0.01, b: 0.01, v: 0.01, f: 0.01, q: 0.01, y: 0.01, z: 0.01, j: 0.0, k: 0.0, h: 0.0, x: 0.0, w: 0.0
Iteration 6300: e: 0.14, a: 0.11, n: 0.09, o: 0.08, s: 0.07, i: 0.07, r: 0.06, t: 0.05, c: 0.05, d: 0.05, l: 0.05, u: 0.04, m: 0.03, p: 0.02, g: 0.01, v: 0.01, b: 0.01, f: 0.01, q: 0.01, y: 0.01, z: 0.01, j: 0.0, k: 0.0, h: 0.0, x: 0.0, w: 0.0
Iteration 6400: e: 0.14, a: 0.11, n: 0.09, o: 0.08, s: 0.08, i: 0.07, r: 0.07, t: 0.05, c: 0.05, d: 0.05, l: 0.05, u: 0.04, m: 0.03, p: 0.03, g: 0.01, v: 0.01, b: 0.01, f: 0.01, q: 0.01, y: 0.01, z: 0.01, j: 0.0, k: 0.0, h: 0.0, x: 0.0, w: 0.0
Iteration 6500: e: 0.14, a: 0.11, n: 0.09, o: 0.08, s: 0.07, i: 0.07, r: 0.07, t: 0.05, c: 0.05, d: 0.05, l: 0.05, u: 0.04, m: 0.03, p: 0.02, g: 0.01, v: 0.01, b: 0.01, f: 0.01, q: 0.01, y: 0.01, z: 0.01, j: 0.0, k: 0.0, h: 0.0, x: 0.0, w: 0.0
Iteration 6600: e: 0.14, a: 0.11, n: 0.08, o: 0.08, s: 0.07, i: 0.07, r: 0.07, t: 0.05, c: 0.05, d: 0.05, l: 0.05, u: 0.04, m: 0.03, p: 0.03, g: 0.01, v: 0.01, b: 0.01, f: 0.01, q: 0.01, y: 0.01, z: 0.01, j: 0.0, k: 0.0, h: 0.0, x: 0.0, w: 0.0
Iteration 6700: e: 0.14, a: 0.11, n: 0.08, o: 0.08, s: 0.07, i: 0.07, r: 0.07, t: 0.05, c: 0.05, d: 0.05, l: 0.05, u: 0.04, m: 0.03, p: 0.03, g: 0.01, v: 0.01, b: 0.01, f: 0.01, q: 0.01, y: 0.01, z: 0.01, j: 0.0, k: 0.0, h: 0.0, x: 0.0, w: 0.0
Iteration 6800: e: 0.14, a: 0.11, n: 0.08, o: 0.08, s: 0.08, i: 0.07, r: 0.07, t: 0.05, c: 0.05, d: 0.05, l: 0.05, u: 0.04, m: 0.03, p: 0.03, g: 0.01, b: 0.01, v: 0.01, f: 0.01, q: 0.01, y: 0.01, z: 0.01, j: 0.0, k: 0.0, h: 0.0, x: 0.0, w: 0.0
Iteration 6900: e: 0.14, a: 0.11, n: 0.08, o: 0.08, s: 0.08, i: 0.07, r: 0.07, t: 0.05, c: 0.05, d: 0.05, l: 0.05, u: 0.04, m: 0.03, p: 0.03, g: 0.01, b: 0.01, v: 0.01, f: 0.01, q: 0.01, y: 0.01, z: 0.0, j: 0.0, k: 0.0, h: 0.0, x: 0.0, w: 0.0
Iteration 7000: e: 0.14, a: 0.11, n: 0.08, o: 0.08, s: 0.08, i: 0.07, r: 0.07, t: 0.05, c: 0.05, d: 0.05, l: 0.05, u: 0.04, m: 0.03, p: 0.03, g: 0.01, b: 0.01, v: 0.01, f: 0.01, q: 0.01, y: 0.01, z: 0.0, j: 0.0, h: 0.0, k: 0.0, x: 0.0, w: 0.0
Iteration 7100: e: 0.14, a: 0.11, n: 0.08, o: 0.08, s: 0.08, i: 0.07, r: 0.07, c: 0.05, t: 0.05, d: 0.05, l: 0.05, u: 0.04, m: 0.03, p: 0.03, g: 0.01, b: 0.01, v: 0.01, f: 0.01, q: 0.01, y: 0.01, z: 0.0, j: 0.0, h: 0.0, k: 0.0, x: 0.0, w: 0.0
Iteration 7200: e: 0.14, a: 0.11, n: 0.08, o: 0.08, s: 0.08, i: 0.07, r: 0.07, c: 0.05, t: 0.05, d: 0.05, l: 0.05, u: 0.04, m: 0.03, p: 0.03, g: 0.01, b: 0.01, v: 0.01, f: 0.01, q: 0.01, y: 0.01, z: 0.01, j: 0.0, h: 0.0, k: 0.0, x: 0.0, w: 0.0
